Class,Precision,Recall,F1,Accuracy,Support
0,0.7143,0.5833,0.6422,0.5833,60
1,0.7453,0.8736,0.8043,0.8736,720
2,0.7899,0.8520,0.8198,0.8520,750
3,0.7759,0.8156,0.7952,0.8156,450
4,0.8395,0.7924,0.8153,0.7924,660
5,0.7343,0.8159,0.7729,0.8159,630
6,0.8790,0.7267,0.7956,0.7267,150
7,0.8418,0.7689,0.8037,0.7689,450
8,0.9302,0.7400,0.8243,0.7400,450
9,0.9156,0.9271,0.9213,0.9271,480
10,0.9295,0.8985,0.9137,0.8985,660
11,0.8654,0.8571,0.8612,0.8571,420
12,0.9938,0.9217,0.9564,0.9217,690
13,0.9845,0.9722,0.9783,0.9722,720
14,0.7849,1.0000,0.8795,1.0000,270
15,0.8057,0.9476,0.8709,0.9476,210
16,0.8488,0.9733,0.9068,0.9733,150
17,0.9970,0.9306,0.9626,0.9306,360
18,0.9149,0.7718,0.8373,0.7718,390
19,0.7800,0.6500,0.7091,0.6500,60
20,0.8000,0.5333,0.6400,0.5333,90
21,0.9792,0.5222,0.6812,0.5222,90
22,0.9107,0.8500,0.8793,0.8500,120
23,0.6555,0.9133,0.7632,0.9133,150
24,0.5607,0.6667,0.6091,0.6667,90
25,0.9612,0.7750,0.8581,0.7750,480
26,0.8478,0.8667,0.8571,0.8667,180
27,0.3913,0.4500,0.4186,0.4500,60
28,0.9241,0.8933,0.9085,0.8933,150
29,0.7963,0.9556,0.8687,0.9556,90
30,0.7752,0.6667,0.7168,0.6667,150
31,0.7685,0.9222,0.8384,0.9222,270
32,0.8507,0.9500,0.8976,0.9500,60
33,0.9559,0.9286,0.9420,0.9286,210
34,0.9667,0.9667,0.9667,0.9667,120
35,0.9791,0.9615,0.9702,0.9615,390
36,0.8860,0.8417,0.8632,0.8417,120
37,0.8000,0.8000,0.8000,0.8000,60
38,0.9591,0.9522,0.9556,0.9522,690
39,0.8404,0.8778,0.8587,0.8778,90
40,0.7196,0.8556,0.7817,0.8556,90
41,0.9348,0.7167,0.8113,0.7167,60
42,0.8056,0.9667,0.8788,0.9667,90
macro_avg,0.8404,0.8291,0.8287,0.8291,12630
weighted_avg,0.8688,0.8608,0.8612,0.8608,12630
