Class,Precision,Recall,F1,Accuracy,Support
0,0.6170,0.4833,0.5421,0.48333333333333334,120
1,0.8340,0.9139,0.8721,0.9138888888888889,720
2,0.9257,0.8973,0.9113,0.8973333333333333,750
3,0.8543,0.8600,0.8571,0.86,450
4,0.9354,0.8773,0.9054,0.8772727272727273,660
5,0.7875,0.9413,0.8576,0.9412698412698413,630
6,0.9587,0.7733,0.8561,0.7733333333333333,150
7,0.9089,0.7756,0.8369,0.7755555555555556,450
8,0.8271,0.8400,0.8335,0.84,450
9,0.9108,0.8938,0.9022,0.89375,480
10,0.9084,0.9621,0.9345,0.9621212121212122,660
11,0.8929,0.8738,0.8833,0.8738095238095238,420
12,0.9592,0.9536,0.9564,0.9536231884057971,690
13,0.9888,0.9833,0.9861,0.9833333333333333,720
14,0.9442,0.9407,0.9425,0.9407407407407408,270
15,0.9196,0.9810,0.9493,0.9809523809523809,210
16,0.9427,0.9867,0.9642,0.9866666666666667,150
17,0.9751,0.9778,0.9764,0.9777777777777777,360
18,0.8641,0.8154,0.8391,0.8153846153846154,390
19,0.6724,0.6500,0.6610,0.65,60
20,0.8586,0.9444,0.8995,0.9444444444444444,90
21,0.8933,0.7444,0.8121,0.7444444444444445,90
22,0.8485,0.9333,0.8889,0.9333333333333333,120
23,0.7089,0.7467,0.7273,0.7466666666666667,150
24,0.9600,0.5333,0.6857,0.5333333333333333,90
25,0.9512,0.9333,0.9422,0.9333333333333333,480
26,0.6239,0.8111,0.7053,0.8111111111111111,180
27,0.9688,0.4844,0.6458,0.484375,64
28,0.7724,0.7467,0.7593,0.7466666666666667,150
29,0.7087,0.8111,0.7565,0.8111111111111111,90
30,0.6422,0.4667,0.5405,0.4666666666666667,150
31,0.7729,0.9704,0.8604,0.9703703703703703,270
32,0.9206,0.9667,0.9431,0.9666666666666667,60
33,0.8969,0.9524,0.9238,0.9523809523809523,210
34,0.9040,0.9417,0.9224,0.9416666666666667,120
35,0.9616,0.9000,0.9298,0.9,390
36,0.9901,0.8333,0.9050,0.8333333333333334,120
37,0.8966,0.8667,0.8814,0.8666666666666667,60
38,0.9457,0.9348,0.9402,0.9347826086956522,690
39,0.7426,0.8333,0.7853,0.8333333333333334,90
40,0.7571,0.5889,0.6625,0.5888888888888889,90
41,0.9545,0.7000,0.8077,0.7,60
42,0.8571,0.9333,0.8936,0.9333333333333333,90
macro_avg,0.8643,0.8362,0.8438,0.8362105903168845,12694
weighted_avg,0.8890,0.8858,0.8845,0.8857728060501024,12694
