Class,Precision,Recall,F1,Accuracy,Support
0,0.8182,0.5400,0.6506,0.54,50
1,0.6415,0.6800,0.6602,0.68,50
2,0.4154,0.5400,0.4696,0.54,50
3,0.4824,0.8200,0.6074,0.82,50
4,0.6222,0.5600,0.5895,0.56,50
5,0.4211,0.4800,0.4486,0.48,50
6,0.8974,0.7000,0.7865,0.7,50
7,0.6739,0.6200,0.6458,0.62,50
8,0.5882,0.6000,0.5941,0.6,50
9,0.7358,0.7800,0.7573,0.78,50
10,0.8478,0.7800,0.8125,0.78,50
11,0.9714,0.6800,0.8000,0.68,50
12,0.5098,0.5200,0.5149,0.52,50
13,0.8276,0.9600,0.8889,0.96,50
14,0.8000,0.6400,0.7111,0.64,50
15,0.6731,0.7000,0.6863,0.7,50
16,0.9231,0.9600,0.9412,0.96,50
17,0.9184,0.9000,0.9091,0.9,50
18,0.4528,0.4800,0.4660,0.48,50
19,0.5000,0.8000,0.6154,0.8,50
20,0.5556,0.6000,0.5769,0.6,50
21,0.8929,0.5000,0.6410,0.5,50
22,0.8679,0.9200,0.8932,0.92,50
23,0.4265,0.5800,0.4915,0.58,50
24,0.3000,0.5400,0.3857,0.54,50
25,0.7778,0.7000,0.7368,0.7,50
26,0.5397,0.6800,0.6018,0.68,50
27,0.7500,0.4800,0.5854,0.48,50
28,0.7857,0.6600,0.7174,0.66,50
29,0.6571,0.4600,0.5412,0.46,50
30,0.6383,0.6000,0.6186,0.6,50
31,0.6346,0.6600,0.6471,0.66,50
32,0.7805,0.6400,0.7033,0.64,50
33,0.7000,0.8400,0.7636,0.84,50
34,0.9600,0.9600,0.9600,0.96,50
35,1.0000,0.5800,0.7342,0.58,50
36,0.9211,0.7000,0.7955,0.7,50
37,0.9792,0.9400,0.9592,0.94,50
38,0.6724,0.7800,0.7222,0.78,50
39,0.8571,0.7200,0.7826,0.72,50
40,0.6000,0.5400,0.5684,0.54,50
41,0.6977,0.6000,0.6452,0.6,50
42,0.8409,0.7400,0.7872,0.74,50
macro_avg,0.7106,0.6781,0.6840,0.6781395348837209,2150
weighted_avg,0.7106,0.6781,0.6840,0.6781395348837209,2150
